entity_id,entity_type,label,kind,token
WOR033000,work,Billedbog uden Billeder,non-numeric page,VIII
WOR034750,work,I Sverrig,non-numeric page,VI
WOR034750,work,I Sverrig,non-numeric page,VI
WOR034750,work,I Sverrig,non-numeric page,VI
WOR034750,work,I Sverrig,non-numeric page,VI
WOR034750,work,I Sverrig,non-numeric page,VI
WOR034750,work,I Sverrig,non-numeric page,VI
WOR034750,work,I Sverrig,non-numeric page,VI
WOR058350,work,Charlotte Corday (Athalia Schwartz),non-numeric page,VI
WOR058350,work,Charlotte Corday (Athalia Schwartz),bad volume,",-119,"
WOR058350,work,Charlotte Corday (Athalia Schwartz),non-numeric page,VI
WOR058350,work,Charlotte Corday (Athalia Schwartz),bad volume,",-123"
WOR058350,work,Charlotte Corday (Athalia Schwartz),non-numeric page,VI
WOR058350,work,Charlotte Corday (Athalia Schwartz),bad volume,",-130"
WOR066950,work,Hakon Jarl (A. Oehlenschlæger),non-numeric page,II
WOR068750,work,Hvor Tiden løber (Louis B. Picard ved N. T. Bruun),bad volume,l-l
WOR068750,work,Hvor Tiden løber (Louis B. Picard ved N. T. Bruun),bad volume,l-12
WOR068750,work,Hvor Tiden løber (Louis B. Picard ved N. T. Bruun),bad volume,l-44
WOR068950,work,l den anden Verden (M. Goldschmidt),non-numeric page,V
WOR068950,work,l den anden Verden (M. Goldschmidt),non-numeric page,V
WOR071350,work,Kierlighed uden Strømper (J. H. Wessel),non-numeric page,V
WOR079350,work,Phèdre (Jean Racine),non-numeric page,II-336-
WOR094000,work,En glad Gut (B. Bjørnson),non-numeric page,VIII
WOR094000,work,En glad Gut (B. Bjørnson),non-numeric page,VIII
WOR102500,work,Bref och dagboksanteckningar (Adolf Törneros),non-numeric page,III
WOR102500,work,Bref och dagboksanteckningar (Adolf Törneros),bad volume,l-298
WOR102500,work,Bref och dagboksanteckningar (Adolf Törneros),non-numeric page,III
WOR102500,work,Bref och dagboksanteckningar (Adolf Törneros),bad volume,l-30l
WOR144000,work,Bakkantinde (L. Bartolini),bad volume,l-l
WOR144000,work,Bakkantinde (L. Bartolini),bad volume,l-386
WOR151350,work,"Madonna med Barnet (Michelangelo, Cappelle Medicee, Firenze)",bad volume,l-l
WOR151350,work,"Madonna med Barnet (Michelangelo, Cappelle Medicee, Firenze)",bad volume,l-208
WOR152750,work,"Muserne (Vatikanet, Rom)",bad volume,l-l
WOR152750,work,"Muserne (Vatikanet, Rom)",bad volume,l-289
WOR156950,work,"Walter Scott (George M. Kemp og Sir John Steel, Edinburgh)",bad volume,Ill-ll
WOR156950,work,"Walter Scott (George M. Kemp og Sir John Steel, Edinburgh)",bad volume,Ill-249
WOR156950,work,"Walter Scott (George M. Kemp og Sir John Steel, Edinburgh)",bad volume,Ill-251
WOR156950,work,"Walter Scott (George M. Kemp og Sir John Steel, Edinburgh)",bad volume,Ill-253
WOR157000,work,"Wellingtons Rytterstatue (Matthew Cotes Wyatt, London 1846)",non-numeric page,III
WOR157000,work,"Wellingtons Rytterstatue (Matthew Cotes Wyatt, London 1846)",bad volume,(Noten)-229
WOR157000,work,"Wellingtons Rytterstatue (Matthew Cotes Wyatt, London 1846)",non-numeric page,III
WOR157000,work,"Wellingtons Rytterstatue (Matthew Cotes Wyatt, London 1846)",bad volume,(Noten)-(Noten)
WOR169850,work,"»Danmark, mit Fædreland!« (H. Rung)",bad volume,Vlll-lll
WOR169850,work,"»Danmark, mit Fædreland!« (H. Rung)",bad volume,Vlll-155
WOR169850,work,"»Danmark, mit Fædreland!« (H. Rung)",bad volume,Vlll-184
WOR179150,work,Thrymskviden (A. Bournonville),non-numeric page,VIII
WOR179150,work,Thrymskviden (A. Bournonville),non-numeric page,VIII
WOR179150,work,Thrymskviden (A. Bournonville),non-numeric page,VIII
WOR179150,work,Thrymskviden (A. Bournonville),non-numeric page,VIII
WOR179150,work,Thrymskviden (A. Bournonville),non-numeric page,VIII
WOR179150,work,Thrymskviden (A. Bournonville),non-numeric page,VIII
WOR179150,work,Thrymskviden (A. Bournonville),non-numeric page,VIII
WOR179150,work,Thrymskviden (A. Bournonville),non-numeric page,VIII
WOR179150,work,Thrymskviden (A. Bournonville),non-numeric page,VIII
WOR179150,work,Thrymskviden (A. Bournonville),non-numeric page,VIII
WOR179150,work,Thrymskviden (A. Bournonville),non-numeric page,VIII
WOR179150,work,Thrymskviden (A. Bournonville),non-numeric page,VIII
WOR179150,work,Thrymskviden (A. Bournonville),non-numeric page,VIII
WOR179150,work,Thrymskviden (A. Bournonville),non-numeric page,VIII
WOR179150,work,Thrymskviden (A. Bournonville),non-numeric page,VIII
WOR179150,work,Thrymskviden (A. Bournonville),non-numeric page,VIII
WOR179150,work,Thrymskviden (A. Bournonville),non-numeric page,VIII
WOR179150,work,Thrymskviden (A. Bournonville),non-numeric page,VIII
