entry_id	surname	marker	verdict	n_fragments	fragments	xlsx_matches	scores
PerXI00637	Beppo	a	MANUAL	2	Opvarter i Murcia. V 232. || Beppo (Peppo), Tigger paa den spanske Trappe i Rom.	(row's own continuing description) || Beppo (Peppo)	1.00 || 0.41
PerXI00693	Bernstorff	a	SAFE	2	dansk Gesandt i Wien 1816-35. I 453. || Bernstorff (-Gyldensten), Johan (Hans), Lensgreve (1815-98), Besidder af Grevskabet Gyldensten og Fideikommisgodserne Watersen og Lunken, Kammerherre, Hofjægermester.	(row's own continuing description) || Bernstorff (-Gyldensten), Johan (Hans), Lensgreve (1815–1898)	1.00 || 1.00
PerXI00737	Bielefeldt	a	MANUAL	2	Boghandler i København. IX 149. || Bielke (»der døde af Snive«).	(row's own continuing description) || Bielke, Ture, Greve (1829–1899)	1.00 || 0.51
PerXI00756	Bilderdijk	a	MANUAL	2	hollandsk Digter. VII 36. || Billes (ikke nærmere angivet).	(row's own continuing description) || Bielke, Ture, Greve (1829–1899)	1.00 || 0.50
PerXI00810	Bird	a	MANUAL	2	ansat hos Hambro i London, senere i Firmaet Westenholz Brothers sst., derefter Købmand i Flensborg (1854) og fra 1870 i Gloucester; hans Moder var Søster til William Howitt. III 221. || Birger Jarl (død 1266), svensk Stormand. III 339 360. Birger Persson til Finsta (død 1327), Lagman over Uppland. Skt. Birgittas Far.	(row's own continuing description) || Birger Jarl (død 1266)	1.00 || 1.00
PerXI00998	Borries	a	MANUAL	2	Broder til Carl B., udvandret til England 1844, senere Grosserer og dansk Vicekonsul i Newcastle. III 198. VII 180. || Borring (»Brev fra Hr. Borring om at komme til ham og see hvad han havde hjembragt fra Færøerne og Island«, 12.4.1875).	(row's own continuing description) || Wrangel von Brehmer, Johan Volmer, Friherre (1836–1907)	1.00 || 0.31
PerXI01060	Brahms	a	SAFE	2	tysk Komponist. VIII 37-39 43 50. || Brakle (Brackel), George William Olaf Rye van (1849-1920), Søn af S.W. v.B., Student 1868, cand.polit. 1876, senere Ekspeditionssekretær i Marineministeriet.	(row's own continuing description) || Brakle (Brackel), George William Olaf Rye van (1849–1920)	1.00 || 1.00
PerXI01081	Brandis	a	MANUAL	2	Livlæge hos Dronning Marie Sophie Frederikke, Konferensraad. VI 305. || Brandt (Konsulatsembedsmand?), Napoli 3.3.1841.	(row's own continuing description) || Dannemand, Caroline Augusta (1812–1844)	1.00 || 0.41
PerXI01146	Bretton	a	SAFE	2	Student 1850, cand.polit. 1855, 1858 Fuldmægtig ved Guvernementssekretariatet for de dansk-vestindiske Øer, 1860 Ekspeditionssekretær i den vestindiske Landsoverret, 1867 exam.jur., 1868 Prøveprokurator paa St. Croix. IV 101 117. VII 256. || Bretton,Florence, Baronesse (1851-1926), Datter af Louise B., g. 1877 m. Charles Canning, Baron Garvagh til Garvagh, irsk Peer.	(row's own continuing description) || Bretton, Florence, Baronesse (1851–1926)	1.00 || 1.00
PerXI01252	Brunnow	a	SAFE	2	tysk Romanforfatter. II 406 408 413. || Brunswick (Pseud. for Léon Lhérie) (1805-50), fransk Skuespilforfatter.	(row's own continuing description) || Brunswick (Pseud. for Léon Lhérie) (1805–1850)	1.00 || 1.00
PerXI01254	Brutus	a	MANUAL	2	Marcus Junius (85-42 f.Chr.), Cæsars Morder. II 139. || Bruun (Bruhn?), 22.4.1833.	(row's own continuing description) || Bruun (Bruhn?)	1.00 || 0.72
PerXI01256	Bruun	a	MANUAL	2	Dansker, Munchen 25.6.1860. TV 386. || Bruun (»Lægen Bruun fra Odense der nu lever gift i Altona«, 15.9.1867, ikke fundet).	(row's own continuing description) || Østrig, Franz Joseph, Erkehertug af – (1830–1916)	1.00 || 0.38
PerXI01285	Bryde	a	MANUAL	2	Balletdanserinde ved Det kgl. Teater, g. 1872 m. Olaf Poulsen. IX 198. — Se ogsaa: Poulsen, Emilie. Bruggeman, Hans (omkring 1520), Billedhugger og Billedskærer. IV 47. || Bruggemann (Brev fra ham til HCA Leipzig 8.9.1846).	(row's own continuing description) || Hamann, Petra Henriette Christine (f. ca. 1842)	1.00 || 0.43
PerXI01289	Brøchner	a	MANUAL	2	Filosof, Professor ved Københavns Universitet 1870. IX 234. X 422. || Brøndsted (»en ung Brøndsted i Besøg«, Asmild Kloster 4.9.1859).	(row's own continuing description) || Knudsen, Susanne Elisabeth, f. Miller (1811–1902)	1.00 || 0.40
PerXI01301	Buch	a	MANUAL	2	Assessor i Landsoverretten i Viborg 1847, i Højesteret 1861, Justitiarius 1880-97. IV 364. || Buchheister (»fra Hamborg«), Konsulatsembedsmand, Barcelona.	(row's own continuing description) || Rigas (Regas, Rhigas), Konstantin (1757–1798)	1.00 || 0.43
PerXI01569	Cazin	a	SAFE	2	Svigerfader til Chr. A. Benzon. II 314. || Cecilia (død 1530), g. 1525 m. Tiziano Vecellio.	(row's own continuing description) || Cecilia (død 1530)	1.00 || 1.00
PerXI01768	Corneille	a	SAFE	2	fransk Digter. II 341. IV 245. VII 378. || Cornelius (?), slesvigholstensk Advokat, Heidelberg 28.8.1855.	(row's own continuing description) || Cornelius (?)	1.00 || 1.00
PerXI01785	Coudére	a	MANUAL	2	Kommandant i Vernet 1846. III 147 150. || Coulon (I, 332, Noten), skal være: Colon, Marguerite (se denne)	(row's own continuing description) || Consoni, Nicola (1814–1884)	1.00 || 0.49
PerXI01932	Danner	a	MANUAL	2	g. 1850 m. Kong Frederik VII af Danmark. III 424. IV 116 247. V 4 6-7 118 148-49 383. VI 281 315. VII 264. VIII 6. || Danneskiolds (ikke nærmere angivet).	(row's own continuing description) || Danneskiold-Samsøe, Frederik, Lensgreve (1798–1869)	1.00 || 0.57
PerXI02027	Delong	a	MANUAL	2	Frue, f. Tugnot Delanoy, g. ca. 1838 m. A.H.P.G.D. II 339. || Demcray (Danscray?) (Navnet synes forskrevet), Braunschweig 22.6.1844.	(row's own continuing description) || Demcray (Danscray?)	1.00 || 0.43
PerXI02106	Donizetti	a	SAFE	2	italiensk Operakomponist. I 349. II 89 261 327- 28. III 159. 7 312 364. VI 141. || Donner (død 1870), Broder til Conrad v. D.	(row's own continuing description) || Donner (død 1870)	1.00 || 1.00
PerXI02168	Drewsen	a	MANUAL	2	Søn af Valdemar D., senere Kemiker i USA. IX 96. || Dreyer (Dreier?), Glorup 16.8.1856.	(row's own continuing description) || Dreyer (Dreier?)	1.00 || 0.64
PerXI02195	Duller	a	SAFE	2	tysk Forfatter. II 419. || Dumalattre (?), fransk Danser, Paris 6.4. 1843.	(row's own continuing description) || Dumalattre (?)	1.00 || 1.00
PerXI02199	Dumreicher	a	MANUAL	2	Frue fra Flensborg, Slesvig 19.7.1851. IV 46-48. || Dumreicher (»den unge«), Rendsborg 20.7.1851.	(row's own continuing description) || Dumreicher, C. O. (1799–1875)	1.00 || 0.43
PerXI02228	Dyssel	a	SAFE	2	Lærer i Maskinlære ved Polyteknisk Læreanstalt 1829-36, tit. Professor. I 475. || Dyveke (død 1517), Christian II.s Frille.	(row's own continuing description) || Dyveke (død 1517)	1.00 || 1.00
PerXI02642	Frankrig	a	MANUAL	2	Søn af Napoléon III af F. VIII 411. X 226. || Franz (Rössler-Franz), Hotelejerdynasti i Via Condotti, Rom.	(row's own continuing description) || Franz (Rössler-Franz)	1.00 || 0.53
PerXI02850	Garrigues	a	SAFE	2	cand. mag. i Fransk 1863, Senior i Studenterforeningen, cand. med. 1869, dr. med. 1872, senere Overlæge og Professor i New York, Gynækolog. VI 324. || Garrigues (fra 1860: Garrigues-Schnorr), Malvina (1832-1904), Søster til Henri G., senere tysk Wagnersangerinde, g. 1860 m. Operasanger Ludwig Schnorr von Carolsfeld.	(row's own continuing description) || Garrigues (fra 1860: Garrigues-Schnorr), Malvina (1832–1904)	1.00 || 1.00
PerXI03043	Grattan	a	SAFE	2	engelsk Romanforfatter. I 294. || Gravenhorst (senere: Gravenhorst-Lovenstjerne), Anton Herman (1810-99), Student 1828, dansk Læge i Stockholm.	(row's own continuing description) || Gravenhorst (senere: Gravenhorst-Lövenstjerne), Anton Herman (1810–1899)	1.00 || 1.00
PerXI03148	Gundersen	a	SAFE	2	norsk Skuespiller. VIII 120 124. || Gundobad (død 516), Burgunderkonge.	(row's own continuing description) || Gundobad (død 516)	1.00 || 1.00
PerXI03289	Hammerich	a	SAFE	2	Søn af Frederik H., Student 1867, cand. polit. 1872, Musikhistoriker, 1896 Docent i Musikhistorie, tit. Professor 1908. VIII 246. || Hammerich (Hamerik), Asger (1843- 1923), Søn af Frederik H., Komponist.	(row's own continuing description) || Hammerich (Hamerik), Asger (1843–1923)	1.00 || 1.00
PerXI03394	Hansteen	a	MANUAL	2	norsk Malerinde og Kvindesagskvinde). IX 330 333. || Haphys (Hephys), Pasha i Rustschuk.	(row's own continuing description) || Haphys (Hephys)	1.00 || 0.61
PerXI03466	Hass	a	SAFE	2	Hofsangerinde, Datter af Skuespiller ved Det kgl. Teater J.E.H., g. ca. 1842 m. Maleren August Kaufmann, Munchen. II 288 289. || Hasselt (-Barth), Wilhelmine van (1813- 81), tysk Operasangerinde, g.m. Komponisten Gustav Barth.	(row's own continuing description) || Hasselt (-Barth), Wilhelmine van (1813–1881)	1.00 || 1.00
PerXI03585	Helweg	a	SAFE	2	fhv. Koffardikaptajn, Skibsreder, senere Sparekassedirektør, Medlem af Odense Kommunalbestyrelse. VII 386. || Helveg (Helweg), Ludvig (1818-83), Broder til Fr. H., residerende Kapellan ved St. Knuds Kirke og Præst ved Graabrødrehospital, Odense; Kirkehistoriker.	(row's own continuing description) || Helveg (Helweg), Ludvig (1818–1883)	1.00 || 1.00
PerXI03625	Henriques	a	SAFE	2	Søn af Ruben H., Vekselerer. VII 378-79. IX 205. X 249. || Henriques,Edmond S. (1860-1910), Søn af Martin R. H., senere Vekselerer.	(row's own continuing description) || Henriques, Edmond S. (1860–1910)	1.00 || 1.00
PerXI03881	Holstein	a	SAFE	2	Søn af Hjalmar v. H., senere Fiskerikontrollør og Justitsraad. IV 354. || Holstein (-Holsteinborg), Christian Christoph, Greve (1856-1924), Søn af Ludvig H.-H., 1892 Lensgreve og Besidder af Grevskabet Holsteinborg, Godsejer og Politiker.	(row's own continuing description) || Holstein (-Holsteinborg), Christian Christoph, Greve (1856–1924)	1.00 || 1.00
PerXI03889	Holstein	a	MANUAL	2	Broder til F.C.v.H., Oberstløjtnant, 1812 Told- og Consumptions-Inspektør i Slagelse, Kammerjunker. I 11 20 44 51 53. || Holstein (-Ledreborg), Henriette, Grevinde, f. Løvenørn (1842-1915), Datter af Frederik de Løvenørn, g. 1867 m. Lensgreve Ludvig (Louis) H.-L. VIII 110-11. — Se ogsaa: Løvenørn, Henriette. Holstein, Hjalmar von (1809-78), Søn af Henning von H., fhv. Kaptajn, Toldforvalter i Frederikshavn 1851-66, Kammerjunker.	(row's own continuing description) || Moltke, Sophie Henriette, Grevinde, f. von Düring (1777–1853)	1.00 || 0.63
PerXI04025	Hundt	a	SAFE	2	Enke efter bayrisk Kämmerer und Oberaufschlagsbeamter von Niederbayern, Grev Ferdinand H. VIII 305. || Hunt (død 1870), Amerikaner, Nizza (Søn af Værtinden i Pension suisse?).	(row's own continuing description) || Hunt (død 1870)	1.00 || 1.00
PerXI04033	Hussein Pasha	a	SAFE	2	tyrkisk General, 1841 Pasha i Widdin. II 216. || Hussein Pasha (død 1841), tyrkisk Krigsminister.	(row's own continuing description) || Hussein Pasha	1.00 || 1.00
PerXI04041	Huysum	a	MANUAL	2	hollandsk Blomstermaler. I 231. || Hvid (Wied?). Gl. Fru Hvid, Roskilde 7.8.1863.	(row's own continuing description) || Sødring, Julie, f. Rosenkilde (1823–1894)	1.00 || 0.41
PerXI04166	Jahn	a	MANUAL	2	holstensk Billedhugger. I 228 252 278 301 390 395 399 407-09 499. || Jameson (kaldes af HCA ogsaa Jackson), Andrew, skotsk Rejsende April 1834.	(row's own continuing description) || Tarbé des Sablons, Madame	1.00 || 0.46
PerXI04178	Jantzen	a	MANUAL	2	Postmester i Nykøbing paa Falster 1836- 66. III 427. || Jaque (Navnet maaske misforstaaet), »den unge Sangerinde som vor Dronning har taget sig af« (23.11.1845).	(row's own continuing description) || Nederlandene, Anna Pavlovna, Dronning af f. Storfyrstinde af Rusland (1795–1865)	1.00 || 0.37
PerXI04180	Jastrau	a	MANUAL	2	g. 1865 m. Richard J. VI 271. VII 15-16. || Jean Paul (Pseud. f. Johann Paul Friedrich Richter) (1763-1825), tysk Digter. II 54 225. III 54-55 67. IV 82. Jeanne d'Arc (1412-31), Jomfruen fra Orléans.	(row's own continuing description) || Jean Paul (Pseud. f. Johann Paul Friedrich Richter) (1763–1825)	1.00 || 1.00
PerXI04245	Joachim	a	SAFE	2	tysk Violinvirtuos og Komponist. IV 456-58. VII 295. VIII 51-52. || Joanny (Jean-Bernard Brisebarre, kaldet -) (1775-1849), fransk Skuespiller.	(row's own continuing description) || Joanny (Jean-Bernard Brisebarre, kaldet -) (1775–1849)	1.00 || 1.00
PerXI04278	Judas	a	SAFE	2	Apostel. V 180. || Judas Maccabæus (død 161 f. Chr.), Israels Fører i Kampen mod Syrerne.	(row's own continuing description) || Judas Maccabæus (død 161 f. Chr.)	1.00 || 1.00
PerXI04288	Juel-Brockdorff	a	MANUAL	2	Datter af Otto Reedtz-Thott, g. 1865 m. Carl J.-B. VII 226. || Julia (død 14), Datter af Kejser Augustus, g. 1° Marcellus, 2° Feltherren Agrippa, 3° den senere Kejser Tiberius.	(row's own continuing description) || Mannerheim, Maria Henrietta Elisabet, Friherreinde, f. Frestadius (1810–1896)	1.00 || 0.35
PerXI04478	Kléber	a	MANUAL	2	fransk General. II 364. VII 342. || Klein (ung), Klampenborg 7.7.1867.	(row's own continuing description) || Lind, Ingeborg (1841–1924)	1.00 || 0.47
PerXI04492	Klock	a	MANUAL	2	Frue, Weimar 1846. III 51. || Klock (Klok), Frk., Hofdame, Weimar.	(row's own continuing description) || Klock (Klok), Frk.	1.00 || 0.65
PerXI04602	Koren	a	SAFE	2	Skolediscipel i Christiania, senere Provst og Sognepræst i Ringebu, Norge. IV 250 282. || Korinna (omkr. 500 f. Chr.), græsk Digterinde.	(row's own continuing description) || Korinna (omkr. 500 f. Chr.)	1.00 || 1.00
PerXI04610	Kossuth	a	MANUAL	2	g. 1840 m. L.K. V 195-96. || Kottwitz (Fritz?), Baron, Glion 26.5. 1873.	(row's own continuing description) || Rosenkrantz, Fritz, Baron (1850–1925)	1.00 || 0.48
PerXI04617	Krag	a	MANUAL	2	fhv. Departementssekretær i Udenrigsministeriet, Kammerherre. VIII 295. IX 269. || Kragh (Kraghs Have 10.8.1869).	(row's own continuing description) || Kragh, Jens Theodor (1835–1910)	1.00 || 0.42
PerXI04685	Krumhar	a	MANUAL	2	g.m. Johan K. I 51. || Kruse (fra Nyborg), dansk Skibsfører paa Vej til Valparaiso, Hamburg 23. 11.1845.	(row's own continuing description) || Kruse, Fanny (1847–1925)	1.00 || 0.67
PerXI04825	Lars	a	MANUAL	2	Kusk paa Basnæs. IV 473. VI 172 350. VIII 372 393. IX 82 255 296. || Larsen (eller Lassen), jydsk Frivillig 1864.	(row's own continuing description) || Oksen, Erik Lassen (1849–1924)	1.00 || 0.67
PerXI04865	Laube	a	SAFE	2	tysk Forfatter, Direktør for Burgtheater i Wien 1849-67, for Leipziger Stadttheater 1869-70. II 342. III 275. IV 136-38 231. VI 139. VIII 265. || Laura (død 1348), Petrarcas Elskede.	(row's own continuing description) || Laura (død 1348)	1.00 || 1.00
PerXI04981	Levison	a	MANUAL	2	Silke- og Klædekræmmer, Grosserer. III 295-97. || Levy (fra København), Rendsborg 6.6. 1860.	(row's own continuing description) || Buli fra København	1.00 || 0.51
PerXI05092	Liunge	a	SAFE	2	Datter af A.P.L., g. 1860 m. Fuldmægtig, senere Kontorchef i Københavns Magistrat Valentin Emilius Cruse. VIII 195. || Livia Drusilla (ca. 55 f. Chr.-29 e. Chr.), romersk Kejserinde, g.m. Kejser Augustus.	(row's own continuing description) || Livia Drusilla (ca. 55 f. Chr.-29 e. Chr.)	1.00 || 1.00
PerXI05477	Martin	a	MANUAL	2	fransk Forfatter, Toldembedsmand. II 326 328 329 354. VI 197. Martin y Rodríguez, José (ca. 1825- 1881), spansk Figurmaler og Billedhugger, Professor ved Kunstskolen i Granada. V 255 257. || Martines (Martini, Martinho, Martino, Martins), Nabo til Carlos O'Neill, Setubal 1866. VII 124 128 131 133 134 137 155. Martinez de la R6sa, Francisco (1789- 1862), spansk Statsmand og Digter.	(row's own continuing description) || Sarmento, Maria Mascarenhas, Baronesse, f. Marquesa de Fronteira (1822–?)	1.00 || 0.33
PerXI05483	Mas y Sans	a	SAFE	2	spansk Forfatter og Diplomat, tidligere Gesandt i Peking. V 308 311 322 325-27. || Masaniello (Tommaso Aniello) (ca. 1623 -47), Fører for Oprøret i Napoli 1647.	(row's own continuing description) || Masaniello (Tommaso Aniello) (ca. 1623–47)	1.00 || 1.00
PerXI05523	Medici	a	MANUAL	2	fransk Dronning, g.1533 m. Kong Henri II af Frankrig. V 348. || Mehmed (Mohammed), Pasha i Rustschuk 1841.	(row's own continuing description) || Mehmed (Mohammed)	1.00 || 0.59
PerXI05618	Metella	a	MANUAL	2	Cæcilia, g.m. Licinius Crassus, Officer hos Cæsar i Gallien. I 219 284. II 102 134. V 55. || Metmayer (?), se: Mittermaier, K. J. A. Mette, Pige hos Frk. Hallager 1869.	(row's own continuing description) || Meyer, S.	1.00 || 0.60
PerXI05741	Moltke	a	SAFE	2	Søn af Otto Joachim M., Landog Søkrigskommissær i Itzehoe, 1847 Generalkrigskommissær i Odense, 1853 Besidder af Espe og Bonderup. II 380 387 388. III 183 384 414. IV 33 201 236 293 463. V 131. VI 73. || Moltke (-Nutschau), Adam Henrik Carl, Greve (1828-1913), Søn af Carl M., senere Major og Kammerherre.	(row's own continuing description) || Moltke(-Nütschau), Adam Henrik Carl, Greve (1828–1913)	1.00 || 0.99
PerXI05752	Moltke	a	SAFE	2	Datter af Adam Gottlob M. (1798-1863), Konventualinde i St. Johannes Kloster, Slesvig. IX 70-72. || Moltke (-Lystrup), Christian, Greve (1833-1918), Søn af A.W.M., cand. polit. 1856, 1856-59 Attaché ved det danske Gesandtskab i London, Besidder af Lystrup og Jomfruens Egede, Landstingsmand 1875-1917, Kammerherre 1865, Gehejmekonferensraad 1911.	(row's own continuing description) || Moltke (-Lystrup), Christian, Greve (1833–1918)	1.00 || 1.00
PerXI05836	Moses	a	MANUAL	2	Israels Befrier og Lovgiver. II 55 167. VII 219. || Moslim (Navnet synes misforstaaet), Frue, Oldenburg 15.12.1845.	(row's own continuing description) || Testman, Henriette Marie, f. Hohlenberg (død 1874)	1.00 || 0.40
PerXI06189	Ohlrogge	a	MANUAL	2	kar. Generalmajor, Kommandant paa Kronborg. II 28-29. || Ohlsen (Olsen?), Helene, Christiania 1871.	(row's own continuing description) || Ohlsen (Olsen?), Helene	1.00 || 0.72
PerXI06352	Patti	a	MANUAL	2	Koncertsangerinde, Søster til Adelina P., g.1879 m. Violoncellisten Ernst De Munck. VIII 125 126 133 218. || Paul (Paolo), Karl hos HCA.s Værtinde i Via purificazione, Rom, 1840-41. II 132. Paul V (1552-1621), Pave 1605.	(row's own continuing description) || Haulleville, Melusine Charlotte Julie Wilhelmine, Baronesse, f. von Piessen (1828–1892)	1.00 || 0.36
PerXI06363	Paulsen	a	MANUAL	2	fhv. Overauditør. VII 251. || Paulus (død ca. 64), Apostel.	(row's own continuing description) || Paulus (død ca. 64)	1.00 || 0.81
PerXI06486	Pfalz-Neuburg	a	SAFE	2	Kurfyrste 1690. II 312. || Pfannenschmidt (død 1868), Arkitekt, Dresden.	(row's own continuing description) || Pfannenschmidt (død 1868)	1.00 || 1.00
PerXI06501	Philips	a	MANUAL	2	Mrs., f. Parson, Søster til Fru Harriet Bornemann. III 244. || Philipsen (»en Hr. Philipsen jeg har seet hos Hartmann«), München August 1855.	(row's own continuing description) || Philippovich von Philippsberg, Nikolaus (1795–1858)	1.00 || 0.40
PerXI06547	Platen-Hallermund	a	SAFE	2	hannoveransk Statsmand, Gesandt i Haag 1866. VII 61. VIII 383. || Platen (-Hallermunde), Julius von, Rigsgreve (1816-89), 1854 Intendant ved Hofteatret i Hannover, 1867 Generaldirektor for Hofteatret i Dresden.	(row's own continuing description) || Platen (-Hallermiinde), Julius von, Rigsgreve (1816–1889)	1.00 || 0.97
PerXI06592	Ponchard	a	SAFE	2	fransk Operasangerinde. I 145. || Ponchino (Bazzacco), Battista (ca. 1500- 1570), italiensk Maler.	(row's own continuing description) || Ponchino (Bazzacco), Battista (ca. 1500–1570)	1.00 || 1.00
PerXI06603	Portella	a	MANUAL	2	Manuel Maria, portugisisk Forfatter. VII 124 131 332. || Portilla (Portielje), Frøken, Amsterdam 5.5.1868.	(row's own continuing description) || Portilla (Portielje), Frøken	1.00 || 0.74
PerXI06614	Portugal	a	MANUAL	2	Søn af Affonso I Henriques af P., Konge 1185. VII 145. || Portugale (?), Gaétano de, Svoger til Brødrene O'Neill. VII 157 161. Portugale(?), Fru de, f. O'Neill, Søster til Brødrene O'Neill, g.m. Gaetano de P.	(row's own continuing description) || Portugale(?), Fru de, f. O’Neill	1.00 || 0.38
PerXI06751	Radziwill	a	SAFE	2	preussisk Generalmajor. III 39-40. || Rafael (Raffaello Santi) (1483-1520), italiensk Maler.	(row's own continuing description) || Rafael (Raffaello Santi) (1483–1520)	1.00 || 1.00
PerXI06917	Reuterdahl	a	MANUAL	2	Søn af B.F.R., Ærkebiskop i Uppsala 1856, Kirkehistoriker. VI 292-93. || Reventlows (ikke nærmere angivet).	(row's own continuing description) || Reventlow, Eugen, Greve (1798–1885)	1.00 || 0.57
PerXI06967	Rienzi	a	MANUAL	2	Tribun i Rom 1347-48. II 93. || Riepenhausen (enten Franz (1786-1831) eller Johannes (1789-1860)), tyske Malere og Raderere.	(row's own continuing description) || Riepenhausen	1.00 || 0.65
PerXI06970	Rifaat Pasha	a	SAFE	2	tyrkisk Udenrigsminister. II 201. || Rigas (Regas, Rhigas), Konstantin (1757 -98), græsk Digter og Frihedsmartyr.	(row's own continuing description) || Rigas (Regas, Rhigas), Konstantin (1757–1798)	1.00 || 1.00
PerXI06984	Riquet	a	MANUAL	2	fransk Ingeniør, Languedoc-Kanalens Bygmester. III 145. || Rist (den unge), Før 7.9.1844.	(row's own continuing description) || Christensen, Frk.	1.00 || 0.49
PerXI06994	Rizzio	a	SAFE	2	italiensk Sanger, Mary Stuarts Sekretær. III 252. || Rob Roy (Robert Macgregor Campbell fra Glengylle) (1671-1734), Bandefører, Skotlands Robin Hood.	(row's own continuing description) || Rob Roy (Robert Macgregor Campbell fra Glengylle) (1671–1734)	1.00 || 1.00
PerXI07331	Salomon	a	SAFE	2	Datter af Wulf S., g.1835 Jacoby i København. I 121. || Salomon (senere Saloman), Julius (1838- 92), Broder til Siegfried Saloman, Operasanger i Stockholm.	(row's own continuing description) || Salomon (senere Saloman), Julius (1838–1892)	1.00 || 1.00
PerXI07341	Salomonsen	a	SAFE	2	Datter af Moritz S., g.1867 m. Fabrikant William S. VI 94 119. IX 237. || Salomonsen (Salomon), Aron (ca. 1760- 1852), Købmand i Slagelse.	(row's own continuing description) || Salomonsen (Salomon), Aron (ca. 1760–1852)	1.00 || 1.00
PerXI07407	Saxild	a	MANUAL	2	dr.med., argentinsk Konsul i København 1863, Generalkonsul 1878. VIII 106-08. || Saxo (omkr. 1200), Historiker.	(row's own continuing description) || Saxo (omkr. 1200)	1.00 || 0.74
PerXI07465	Schau	a	MANUAL	3	Cadix 11.11.1862. V 292. || Schau (Skau?), C6rdoba 23.11.1862. V 302. || Schau (Schou?), Frue (23.2.1869).	(row's own continuing description) || Schram (Skram), Gustav (1802–1865) || Schousboe (f. ca. 1859)	1.00 || 0.45 || 0.51
PerXI07591	Schmidt	a	SAFE	2	Broder til Christian S., Skuespiller, Direktør for Morskabsteatret i Frederiksberg Allé 1869, for Nørrebros Teater 1886. VIII 244 245. IX 94. || Schmidt (Schmith), Jens Johansen (1834 -1907), Skrædder i Odense, senere Møbelhandler, Ejer siden 1859 af HCA.s Barndomshjem i Munkemøllestræde.	(row's own continuing description) || Schmidt (Schmith), Jens Johansen (1834–1907)	1.00 || 1.00
PerXI07622	Scholl	a	MANUAL	2	Solodanserinde ved Det kgl. Teater, g.1876 m. Ingeniørkaptajn, senere Oberst V.E.Tychsen. VIII 249. IX 32 33 191-92. || Scholler (Schöller?), Bordeaux 26.8. 1866.	(row's own continuing description) || Scholtz, E. W. von (død ca. 1866)	1.00 || 0.43
PerXI07650	Schoultz	a	MANUAL	2	svenskfinsk Operasangerinde, g.1842 m. Vicelandmåtaren Felix Brand. II 322. || Schousboe (f. ca. 1859), Datter af Otto S., Rolighed 2.9.1870.	(row's own continuing description) || Schousboe (f. ca. 1859)	1.00 || 0.55
