event_id,year,quarter,date_iso,ordering,title_da,title_en,text_da,text_en,bookmark_title_da,bookmark_title_en,legacy_slug,year_heading_da,year_heading_en,source_id
T0011,1805,,1805-00-00,11,Farfar,Paternal Grandfather,"Anders Hansen Traes (f. ca. 1751, d. 1827). Landsbyskomager og muligvis også en tid husmand. Slog sig ned som skomagersvend i Odense. Blev sindssyg og var som sådan en figur, der var til spot og spe for byens børn. HCA frygtede senere at skulle arve hans sindssyge (et blandt flere træk, der taler mod, at han selv skulle have vidst, at han havde en anden biologisk far end den Hans Andersen, han voksede op hos). ""Gale Anders"" endte som såkaldt bespisningslem i Gråbrødrehospitalet (Odenses fattighus).","Anders Hansen Traes (born approx. 1751, died 1827). Village shoemaker and possibly also farmer for a time. Settled in Odense as shoemaker. Became mentally disturbed and was, as such, taunted by the children of the town. HCA later feared the possibility of inheriting this state of insanity (one of several factors which indicates that he himself was aware that the Hans Andersen he grew up with was indeed his biological father). ""Crazy Anders"" ended his days as a resident at Gråbrødre Hospital (Odense's almshouse for the poor).",,,,Fødsel og baggrund,Birth and Background,11
T0012,1805,,1805-00-00,12,Halvfætter,Half Cousin,"Johan Figath Josephsen (1831-77). Hans morfars mor var den Karen Sørensdatter, som var HCAs farmors mor, m.a.o.; de to havde fælles oldemor. Johan F. Josephsens mor var født Nomensen.<br> Arbejdede i Åsum og i Odense bl.a. hos bagere. Senere 5 år i Rullekroen. Blev idømt fængselsstraffe for skovtyverier, fik domme for betleri og for at lade sine børn betle.<br> De to halvfætre har <em>ikke</em> kendt hinanden.","Johan Figath Josephsen (1831-77). His maternal grandfather's mother was the same Karen Sørensdatter who was HCA's paternal grandmother's mother; in other words, they had a great grandmother in common. Johan F. Josephsen's mother's maiden name was Nomensen.<br> Johan Figath Josephsen worked in Åsum and in Odense at various bakeries and later, 5 years at an inn named ""Rullekroen"". Was sentenced to prison for forestry theft, convicted for begging and for letting his children beg. The two half cousins <em>did not</em> know each other.",,,,Fødsel og baggrund,Birth and Background,12
T0013,1805,,1805-00-00,13,Odense,Odense,"På denne tid Danmarks næststørste by med ca. 6.000 indbyggere. Omkring halvdelen af byens indbyggere tilhørte underklassen, og ca. 10% var subsistensløse (svarende til landsgennemsnittet). På Odense Slot residerede fra 1816 prins Christian (den senere kong Chr. VIII) som prinsguvernør over Fyn. Formidlet af en af HCAs tidlige velyndere i Odense, oberst C. Høegh-Guldberg (kom til Odense i 1811 som kommandant for garnisonen) fik HCA foretræde for prinsen på slottet engang mellem 1816 og 1819. Prinsen var dog ikke til sinds at hjælpe drengen frem på den kunstneriske bane, men formanede ham til at lære sig et håndværk.<br> (En teori - fremsat af Jens Jørgensen i <em>H.C. Andersen - en sand myte</em> 1987, og videreført i dennes genudgivelse af <em><a href=""http://www.andersen.sdu.dk/vaerk/register/info.html?vid=804"">Levnedsbog</a>en</em> under titlen <em>Erindringer</em> 1988 - om, at prins Christian og komtesse Elise Ahlefeldt-Laurvig skulle være forældre til HCA, og at HCA skulle havde vidst dette, er grundigt tilbagevist af såvel arkiveksperter som af HCA-forskere. Den senere Chr. VIII havde i alt 10 uægte børn, som han førte omhyggeligt bog over og fik anbragt godt. HCA er ikke mellem dem. Og når HCA fortæller, at han langt senere i livet spejlede sig for at se, om han kunne genfinde farfaren, ""gale Anders's"" træk i sit ansigt, af frygt for, at han selv var ved at blive gal, er det udelukket, at han selv skulle have ""vidst"", at han var søn af Chr. VIII.","In those days, Odense was the second largest town in Denmark, with approx. 6,000 inhabitants, of which almost half belonged to the lower classes and 10% were destitute (equivalent to the national average).
Prince Christian (later King Christian VIII) resided at Odense Castle from 1816 as the first ""Prince Governor"" of Funen. Through one of HCA's early patrons in Odense, Colonel C. Høegh-Guldberg (arrived in Odense in 1811 as commander of the garrison), HCA was granted an audience with the prince at the castle some time between 1816 and 1819. The prince was not, however, of a mind to assist the boy in pursuing a career in the arts, but rather admonished him to learn a trade.
A theory - proposed by Jens Jørgensen in H.C. Andersen - A True Myth 1987 - to the effect that Prince Christian and Countess Elise Ahlefeldt-Laurvig were the biological parents of HCA, and that HCA knew this, has been thoroughly disproved by expert archivists as well as by HCA researchers. The later Christian VIII had a total of 10 illegitimate children, whom he kept meticulous records of and had placed well. HCA is not among them. And when HCA mentions how, later in life, he scrutinized his mirror image for traces of his paternal grandfather, ""Mad Anders"", fearing that he was going mad himself, it is out of the question that he should have “known”, that he was son of Christian the 8th.",Odense dengang,Odense At The Time,dengang,Fødsel og baggrund,Birth and Background,13
T0014,1805,,1805-00-00,14,Odense Teater,Odense Theatre,"Fra 1796 fik Odense som den første by uden for København et fast teater (dengang beliggende på Sortebrødre Torv). I HCAs barndom spillede især tyske skuespillertrupper på Odense Teater, som ikke havde noget fast personale. Skuespillere fra Det kgl. Teater på sommerturné i provinsen optrådte også på Odense Teater, som således gav retning til HCAs drømme om at komme ud og op af ""sumpen"". Det kom til at stå for ham, at lykken måtte være at finde ved Det kgl. Teater i København.","In 1796 Odense got, as the first city outside Copenhagen, a regular theatre. (Back then located at “Sortebrøde Torv”). In HCA’s childhood especially German actor groups performed at Odense Theatre, which had no regular staff. Actors from the Royal Theatre on summer tours in the provinces also performed at Odense Theatre, and this had a hand in shaping HCA's dreams of moving up and out of the ""bog"". He would come to believe that happiness lay in a career at the Royal Theatre in Copenhagen.",,,,Fødsel og baggrund,Birth and Background,14
T0015,1805,,1805-00-00,15,Skoler,Schools:,"Siden middelalderen havde byen haft latinskole. 1802 reorganiseredes den til den stadig eksisterende Katedralskole (en ""lærd"" skole). Derudover var der i 1806 i alt 7 skoler i Odense, bl.a. en i arbejdsanstalten (fattiggården). 1812 åbnedes en borgerskole (betalingsskole).","In Odense, there had been the equivalent of a grammar school since the Middle Ages. In 1802 it was reorganised to become the still existing ""Kathedralskole"" (Cathedral School), (a ""learned"" school). Furthermore, there were a total of 7 schools in Odense in 1806, including one at the workhouse (the almshouse). In 1812 a municipal primary school was opened (with fees).",,,,Fødsel og baggrund,Birth and Background,15
T0016,1805,,1805-00-00,16,Aviser,Newspapers,Odense havde som eneste by i provinsen to aviser (kaldet henh. Iversens og Hempels aviser efter bogtrykkerne). Den sidste udkommer stadig (under navnet Fyens Stiftstidende).,"Odense was the only town in the provinces to have two newspapers; Iversens and Hempels, named after the printer. The latter is still published (under the title ""Fyns Stiftstidende"").",,,,Fødsel og baggrund,Birth and Background,16
T0017,1806,1,1806-01-00,1,Januar,January,HCAs forældre flytter sammen med bolig i Holsedore (daværende nr. 330).,HCA's parents commence living together. Their address is Holsedore (then no. 330).,Forældrene flytter sammen,The Parents Move In Together,,Forældrene flytter sammen,The Parents Move in Together,17
T0018,1806,2,1806-05-00,2,Maj,May,HCAs forældre flytter til Klaregade (daværende nr. 310).,HCA's parents move to Klaregade (street) (then no. 310),,,,Forældrene flytter sammen,The Parents Move in Together,18
T0019,1807,2,1807-05-00,1,Maj,May,"HCAs forældre flytter ind i Klingenberg nr. 646, nu kendt som barndomshjemmet i Munkemøllestræde. Det lille udlejningshus deltes af tre familier (i alt 12 personer). HCAs forældre rådede her over en lille stue og køkken.
<br><br>
1807 er også året for englændernes bombardement af København.","HCA's parents move to Klingenberg no. 646, now known as the childhood home in Munkemøllestræde. The small rental house was shared by 3 families (12 persons in all). Here, HCA's parents had a small living room and a kitchen at their disposition.<br>
<br>
1807 is also the year the English bombed Copenhagen.",Til Munkemøllestræde,To MunkemølleStræde (street),,Indflytning i Munkemøllestræde,To Munkemøllestræde (Street),19
T0020,1808,1,1808-02-20,1,,,Som led i Danmarks engagement på Napoleons side erklærer Danmark Sverige krig.,"In keeping with a commitment made to Napoleon, Denmark declares war against Sweden.",Spanierne på Fyn,The Spaniards on Funen,,Spanierne på Fyn,The Spaniards on Funen,20
T0021,1808,1,1808-03-00,2,Marts,March,"<p>Et fransk-spansk hjælpekorps under marskal Jean Baptiste Jules Bernadotte (der 1810 blev valgt til svensk tronfølger og fra dette år reelt havde magten i Sverige for i 1818 at blive kronet som svensk konge under navnet Carl XIV Johan) kommer til Fyn. Det er meningen, at det senere skal overføres til Sjælland for at kunne gøre landgang i Skåne.</p> <p>Fortællinger, HCA har hørt som barn om spanierne på Fyn, har senere givet ham stof til skuespil <em>(Spanierne i Odense,</em> 1833/36 og <em><a href=""http://www.andersen.sdu.dk/vaerk/register/info.html?vid=637"">Da Spanierne var her</a>,</em> 1865).<br> Lokale traditioner, folkeliv og leg med dukketeater kommer allerede tidligt til at præge udviklingen af HCAs fantasi.</p>","<p>A French-Spanish auxiliary corps under Marshal Jean Jules Bernadotte arrives on Funen. (In 1810, Bernadotte was chosen as Swedish successor to the throne and actually had control of Sweden from this time. He was then crowned in 1818 under the name of Carl XIV Johan). The intention is that the auxiliary corps later be transferred to Zealand in order to effect a landing in Skåne, Sweden.</p> <p>Tales which HCA heard as a child about the Spaniards on Funen have later provided him with inspiration for dramas (<em>Spanierne i Odense -The Spaniards in Odense</em>-1833/36 and <em>Da Spanierne var her -When The Spaniards Were Here</em>- 1865).<br> Local traditions, life on the streets and playing with puppet theatre were all influential factors in the development of HCA's imagination at an early stage.</p>",,,,Spanierne på Fyn,The Spaniards on Funen,21
T0022,1810,,1810-00-00,1,Dette år,In this year,"<p>Kort tid i pogeskole hos en ""læremor"", (efter en familietradition skulle det være en Marie Raaschou).<br> Samme år i en anden pogeskole, drevet af Fedder Carstens. Denne skole var især for jødebørn. HCA har hér lært en lille jødepige, Sara Heimann, at kende, som antagelig er forbilledet for Naomi i romanen <em>Kun en Spillemand.</em></p> <p>Denne skole blev opløst allerede i 1811. Sandsynligvis kom HCA i en periode herefter i Fattigskolen, men det foreligger der ikke sikre vidnesbyrd om.<br> Hjemme udbygger HCA sin læsefærdighed og giver sig i de kommende år i kast med bl.a. Holbergs komedier, som faderen først har læst op for ham. Senere tager han også fat på Shakespeare (uden at det dog kan fastslås, hvor meget han i sin barndom har læst heraf). Overhovedet er det faderen, der stimulerer hans teaterinteresse og intellektuelle udvikling. I HCAs opvækst afbalanceres moderens almueovertro af faderens religiøse rationalisme og intellektuelle nysgerrighed.</p>","<p>Spent a short period of time in a school for infants with a ""teaching mother"", (according to a story handed down in the family, it was a Marie Raaschou).<br> Attended another school for infants in the same year, run by Fedder Carstens. This school was especially for Jewish children. It was here that HCA got to know a little Jewish girl by the name of Sara Heimann, who seems to have become a model for the character Naomi in the novel <em>Kun en Spillemand (Only a Fiddler!)</em>.<br> This school was closed by 1811 and it seems probable that HCA then attended the charity school for a period, but there is no hard evidence to this effect.<br> At home, HCA improves his reading abilities and in the coming years he embarks upon Holberg's comedies, which had already been read aloud to him by his father. Later, he also tackles Shakespeare (although it can not be determined how much of this he read during childhood). More than anyone, it is his father who stimulates his interest in the theatre and his intellectual development. During HCA's adolescence, his mother's folk-based superstition is balanced by the religious rationalism and intellectual curiosity of his father.</p>",Skolegangen,Schooling,,Skolegangen,Schooling,22
T0023,1812,,1812-00-00,1,Dette år,In this year,"<p>Lader HCAs far sig hverve som musketer i stedet for en bondesøn, der betalte sig fri. Summen, han fik, har antagelig været på ca. 1.000 rdl, en stor formue for friskomageren. Men ved statsbankerotten i januar 1813 blev pengenes værdi nedskrevet til 1/6 af pålydende værdi, men kun 1/10 af realværdien, og dermed var den sikring af familiens fremtid, som disse penge kunne have betydet, forsvundet ud i den blå luft.<br> Fra ca. 1812 og frem stammer HCAs tidligste kontakter med det rigtige teater. Han ser af og til forestillinger på Odense Teater, bl.a. - antagelig i første halvdel af 1813 - Ferdinand Kauers romantisk-komiske trylleopera (Zauberposse) <em>Das Donauweibchen.</em> HCA giver sig da til at spille stykket derhjemme,</p> <blockquote>""- skjøndt jeg ikke vidste flere end de to tydske Ord ""Schwester"" og ""Bruder"". - Dette Stykke behagede mig især, jeg skabte i Kragemaal, selv noget Tydsk, tog min Moders Forklæde om Skuldrene, og var nu Ridder Albrect, snart svømmede jeg paa en Skammel som Donaupigen. Alle disse Scener gjorte ellers min Moder forskrækket, hun forbød mig det, thi hun troede tidt at jeg maatte være gal"".<br> <em>(Levnedsbogen)</em></blockquote> <p>Det er HCAs første møde med en havfrue og dermed hans allertidligste inspirationskilde til ""<a href=""http://www.andersen.sdu.dk/vaerk/register/info.html?vid=16"">Den lille Havfrue</a>"".</p>","<p>HCA's father lets himself be conscripted as musketeer, in the place of a farmer's son, who thus pays to avoid military service. The amount his father received was probably approx. 1,000 rdl. (rix dollars), a large amount for the shoemaker. But with the bankruptcy of the state in January 1813, the money was devalued to 1/6 of its denomination, but only 1/10 of its actual value. As a result, the prospect of the money providing a secure future for the family simply evaporated.<br> HCA's earliest encounters with the real theatre commence in approx. 1812. Occasionally, he sees performances at Odense Theatre, for example during the first half of 1813 - Ferdinand Kauer's romantic, comic, magic opera (Zauberposse) Das Donauweibchen. HCA then attempts to act out the play at home, ""- despite the fact that the only German words I knew were ""Schwester"" and ""Bruder"". - This play especially pleased me, in gibberish I created some German myself, wrapped my mother's scarf around my shoulders, and was now Knight Albrecht, then swimming on a stool like the girl from the Danube. All of these scenes did however frighten my mother, she forbade me to carry on like that, believing I must be mad"".<br> <em>(Levnedsbogen (The Biography))</em></p> <p>This is HCA's first encounter with a mermaid and thereby his earliest source of inspiration for ""The Little Mermaid"".</p>",Teaterbesøg i Odense,Encounters with the Theatre in Odense,,Teaterbesøg i Odense,Encounters with the Theatre in Odense,23
T0024,1814,,1814-00-00,1,Dette år,In this year,"<p>Fredsslutning efter napoleonskrigene. Danmark mister nu Norge, som efter først at have fået en fri forfatning under den senere Chr. VIII kommer ind under Sverige, hvor marskal Bernadotte i mellemtiden er blevet tronfølger og har vendt Napoleon ryggen.</p>","<p>Peace treaty after the Napoleonic Wars. Denmark now loses Norway. Initially, Norway achieves a free constitution under the later King Christian VIII, but is then brought under the rule of Sweden, where Marshal Bernadotte in the mean time has become successor to the throne and has turned against Napoleon.</p>",,,,Faderen hjem fra soldatertjeneste,Father Returns Home from the Army,24
T0026,1816,2,1816-04-26,1,,,"<p>HCAs far dør. Omkring denne tid går HCA ikke i skole. Da moderen ikke kunne have ham til at gå hjemme, mens hun nu, drevet af stor fattigdom, selv skulle ud at vaske for folk, kommer drengen ud at tjene. Først ganske kort på Kochs og Hirschfeldts klædefabrik i Klaregade, dernæst på Laurids Ørnstrups tobaksfabrik i Vestergade.<br> Herefter går han igen nogen tid hjemme, men anbringes enten senere på året 1816 eller i beg. af 1817 igen på Fattigskolen (hvor han undervises i religion, skrivning og regning) for at være af vejen, mens moderen er ude på arbejde.<br> HCA knytter i disse år kontakter, der bliver af betydning for ham fremover, bl.a. via biskop Plum til oberst Christian Høegh-Guldberg.</p>","<p>HCA's father dies. HCA does not attend school at this time and his mother could not keep him at home. Driven by poverty, she was obliged to go out washing clothes for people; consequently the boy goes out to work. Firstly for a short time at Koch and Hirschfeldts' cloth mill in Klaregade, then at Laurids Ørnstrup's tobacco factory in Vestergade.<br> After this he once again spends some time at home, but in either late 1816 or early 1817, he is once more placed in the charity school (where he is taught religion, writing and arithmetic) so he is out of the way when his mother goes to work.<br> During these years, HCA makes connections which will be significant in the future. It is via Bishop Plum, for example, that he gets to know Colonel Christian Høegh-Guldberg.</p>",Faderens død,Death of HCA's Father,,Faderens død,Death of HCA's Father,26
T0025,1814,1,1814-01-00,2,Januar,January,"<p>I januar kommer HCAs far, der kun var nået til Holsten, syg og nedbrudt tilbage.</p>","<p>HCA's father, who had been no further afield than Holstein, returns home, sick and completely weakened.</p>",Faderen hjem fra soldatertjeneste,Father Returns Home from the Army,,Faderen hjem fra soldatertjeneste,Father Returns Home from the Army,25
T0027,1816,,1816-00-00,2,Dette år,In this year,"<p>Adam Oehlenschläger udgiver <em>Eventyr af forskiellige Digtere</em> (2 bind) med bearbejdede oversættelser af tyske kunsteventyr, en lang principiel indledning om eventyret og fyldige kommentarer til hver tekst.</p>","Adam Oehlenschläger has published:<em>Eventyr af forskiellige Digtere (Fairy-tales by Various Writers)</em> - 2 volumes - containing adapted translations of German art fairy-tales, a long principle introduction to fairy-tales and a comprehensive commentary for each text.</p>",,,,Faderens død,Death of HCA's Father,27
T0028,1818,3,1818-07-08,1,,,"<p>HCAs mor gifter sig på ny (med friskomager Niels Jørgensen Gundersø, f. 1787, d. 1822). Det kan antages, at moderens nye ægteskab og den deraf følgende fortrængning af drengen fra at være moderens altdominerende interesse har været afgørende for HCAs opbrud fra barndommens by. Under de snævre forhold har oplevelsen af moderen som seksuelt væsen med en fremmed mand måske været en af de faktorer, som har grundlagt HCAs senere vægring ved egentlig seksuel kontakt med kvinder.</p>","<p>HCA's mother remarries (shoemaker Niels Jørgensen Gundersø, 1787-1822). It may be assumed that the new marriage meant that the boy no longer had the full attention of his mother and that this was instrumental in HCA's departure from Odense, his childhood town. In cramped quarters, the experience of witnessing his mother as a sexual being in the company of a strange man may have been one of the factors which laid the foundation for HCA's later tendency to avoid sexual contact with women.</p>",Moderen gifter sig igen,HCA's Mother Remarries,,Moderen gifter sig igen,HCA's Mother Remarries,28
