key,label_da,category,forms,notes
mecklenburgsk,Mecklenburgsk,german_state,mecklenburgsk;mecklenburgske,
westfalsk,Westfalsk,german_state,westfalsk;westfalske,Westphalia.
württembergsk,Württembergsk,german_state,württembergsk;württembergske,"Corpus attests only a mangled fragment (""rttembergsk"" — a tokenizer artifact from the ü, see docs); canonical spelling supplied here."
hessisk,Hessisk,german_state,hessisk;hessiske,Not attested in the corpus sample checked; included for completeness.
thüringsk,Thüringsk,german_state,thüringsk;thüringske,Thuringia.
badisk,Badisk,german_state,badisk;badiske,Baden. Not attested in the corpus sample checked; included for completeness.
frankisk,Frankisk,historical_polity,frankisk;frankiske,Frankish (early medieval).
slesvigsk,Slesvigsk,border_region,slesvigsk;slesvigske,
nordslesvigsk,Nordslesvigsk,border_region,nordslesvigsk;nordslesvigske,North Schleswig — Danish-majority part of the duchy.
sønderjydsk,Sønderjydsk,border_region,sønderjydsk;sønderjyske,Synonym of nordslesvigsk in modern usage.
sydslesvigsk,Sydslesvigsk,border_region,sydslesvigsk;sydslesvigske,South Schleswig — German-majority part of the duchy.
slesvigholstensk,Slesvig-holstensk,border_region,slesvigholstensk;slesvig-holstensk;slesvig-holstenske,The contested Schleswig-Holstein duchies — central to the wars of 1848–51 and 1864.
holstenlauenborgsk,Holsten-lauenborgsk,border_region,holsten-lauenborgsk;holsten-lauenborgske;slesvig-holsten-lauenborgsk;slesvig-holsten-lauenborgske;slesvig-holsten-lauenburgske,The full three-duchy formula (Schleswig-Holstein-Lauenburg), as used for the pre-1864 joint chancellery/ministry.
holstensk,Holstensk,border_region,holstensk;holstenske,Holstein on its own (outside the "slesvig-holstensk" compound).
jysk,Jysk,regional_danish,jysk;jydsk;jyske;jydske;nørrejydsk;nørrejydske,"Jutland. ""Jydsk"" is the historical spelling, ""jysk"" the modern one — both occur."
sjællandsk,Sjællandsk,regional_danish,sjællandsk;sjællandske,Zealand.
fynsk,Fynsk,regional_danish,fynsk;fynske,Funen.
københavnsk,Københavnsk,regional_danish,københavnsk;københavnske;kjøbenhavnsk;kjøbenhavnske,"Copenhagen. ""Kjøbenhavnsk"" is the pre-1948 spelling."
dansk_vestindisk,Dansk-vestindisk,colonial,dansk-vestindisk;dansk-vestindiske;vestindisk;vestindiske,The Danish West Indies (now the US Virgin Islands) — a colonial-era territorial demonym.
grønlandsk,Grønlandsk,colonial,grønlandsk;grønlandske,
romersk,Romersk,historical_polity,romersk;romerske,"Ancient Rome (""romersk Kejser"", ""romersk Statsmand""). See tysk_romersk for the unrelated ""Holy Roman"" compound."
tysk_romersk,Tysk-romersk,historical_polity,tysk-romersk;tysk-romerske,"Fixed historical-title compound — ""det tysk-romerske Rige"" (the Holy Roman Empire). Do not read as ""German AND Roman""; it names one polity, not two ethnicities. See docs for handling."
østromersk,Østromersk,historical_polity,østromersk;østromerske,Byzantine / Eastern Roman Empire.
angelsaksisk,Angelsaksisk,historical_polity,angelsaksisk;angelsaksiske,Anglo-Saxon.
østgotisk,Østgotisk,historical_polity,østgotisk;østgotiske,Ostrogothic.
kartageniensisk,Kartageniensisk,historical_polity,kartageniensisk;kartageniensiske,Carthaginian.
attisk,Attisk,historical_polity,attisk;attiske,"Classical-era Athens/Attica (""attisk Statsmand"") — the corpus's preferred form for Athenian antiquity, alongside atheniensisk."
atheniensisk,Atheniensisk,historical_polity,atheniensisk;atheniensiske,Synonym of attisk in the corpus.
makedonisk,Makedonisk,historical_polity,makedonisk;makedoniske,Ancient Macedonian (e.g. Alexander the Great) in the one corpus occurrence checked; the same form would also read as modern Macedonian.
valakisk,Valakisk,historical_polity,valakisk;valakiske,Wallachian (historical Romanian region).
maurisk,Maurisk,historical_polity,maurisk;mauriske,Moorish.
kurlandsk,Kurlandsk,historical_polity,kurlandsk;kurlandske,Courland (historical Baltic duchy).
neapolitansk,Neapolitansk,historical_polity,neapolitansk;neapolitanske,Kingdom of Naples — pre-unification Italian region.
genovesisk,Genovesisk,historical_polity,genovesisk;genovesiske;genuesisk;genuesiske,Genoa — pre-unification Italian region; both spellings attested.
veneziansk,Veneziansk,historical_polity,veneziansk;venezianske,Venice — pre-unification Italian region.
bøhmisk,Bøhmisk,historical_polity,bøhmisk;bøhmiske,"Bohemia (historical Czech lands under Habsburg rule) — see also czekisk, the modern-nationality form."
czekisk,Czekisk,national,czekisk;czekiske;tjekkisk;tjekkiske,"""Czekisk"" is the corpus's own (older, German-influenced) spelling; ""tjekkisk"" is the modern Danish form, not attested here but supplied for forward compatibility."
provencalsk,Provençalsk,regional_foreign,provencalsk;provençalsk;provencalske,Provençal (regional France).
tyrolsk,Tyrolsk,regional_foreign,tyrolsk;tyrolske,Tyrol (Austrian/Italian alpine region).
plattysk,Plattysk,ethnolinguistic,plattysk;plattyske,"Low German (Plattdeutsch) dialect-speaker — a linguistic/ethnic identity distinct from ""tysk"" generally."
jødisk,Jødisk,religious_ethnic,jødisk;jødiske,"Jewish — an ethnic/religious descriptor, not tied to one nation-state. Distinct from ""mosaisk"" (excluded — see docs, primarily a religious-law term)."
nordisk,Nordisk,supranational,nordisk;nordiske;oldnordisk;oldnordiske,Nordic/Scandinavian broadly, including the Old Norse historical form.
skandinavisk,Skandinavisk,supranational,skandinavisk;skandinaviske,
