id_a	surname_a	given_a	id_b	surname_b	given_b	shared_refs	ocr_family	note
PerXI00495	Lützau	Frederik Georg	PerXI06060	Liitzau	Frederik Georg	IX:76;IX:77	ü→ii: Lützau/Liitzau	Frederik Georg -- del af Lützau-familien
PerXI00496	Lützau	Hugo	PerXI06061	Liitzau	Hugo	IX:76;IX:77	ü→ii: Lützau/Liitzau	Hugo -- del af Lützau-familien
PerXI00497	Lützau	Juliane, f. Borberg	PerXI06062	Liitzau	Juliane, f. Borberg	IX:76;IX:77	ü→ii: Lützau/Liitzau	Juliane -- del af Lützau-familien
PerXI00711	Sayn-Wittgens tein-Berleburg	Pulcheria, Prinsesse af –, f. Prinsesse Cantacazenos	PerXI08185	Sayn-Wittgenstein-Berleburg	Pulcheria, Prinsesse af -, f. Prinsesse Cantacazenos	IV:230;IV:231	midtord-mellemrum: Wittgens tein	Pulcheria Sayn-Wittgenstein-Berleburg
PerXI00807	Toli	Johan Christoffer von	PerXI09274	Toll	Johan Christoffer von	II:10;II:9	ll→li: Toli/Toll	Johan Christoffer von Toll
PerXI00058	Bétzaris	Marko	PerXI01920	Botzaris	Marko	II:168	accent/ciffer: Bétzaris/B6tzaris→Botzaris	Marko Botzaris, græsk frihedskæmper
PerXI00151	Codes	Publius Horatius	PerXI02576	Cocles	Publius Horatius	I:219	cl→d: Codes/Cocles	Publius Horatius Cocles
PerXI00414	Josika	Mikols, Baron	PerXI05109	Jósika	Mikols, Baron	II:241	tabt accent: Josika/Jósika	Miklós Jósika -- NB: 05109 allerede rettet fra J6sika
PerXI00249	Freiing		PerXI03535	Freling	Apoteker, Hildesheim	I:141	r/l: Freiing/Freling	Apoteker i Hildesheim
PerXI00262	Gastillien	Pedro I, den Grusomme, Konge af –	PerXI02442	Castillien	Pedro I, den Grusomme, Konge af —	V:300	C↔G: Gastillien/Castillien	Pedro I af Castillien
PerXI00265	Gaus	Salomon de	PerXI02453	Caus	Salomon de	IV:150	C↔G: Gaus/Caus	Salomon de Caus
PerXI00279	Glevermann		PerXI02573	Clevermann		VIII:332	C↔G: Glevermann/Clevermann	
PerXI00381	Hübsch von Grossthai	Alphonse, Baron	PerXI04891	Hübsch von Grossthal	Alphonse, Baron	II:199	l/i: Grossthai/Grossthal	Alphonse Hübsch von Grossthal
PerXI00456	Kuliman		PerXI05541	Kullman		III:302	ll→li: Kuliman/Kullman	
PerXI00511	Machado de Gastro	Joaquim	PerXI06135	Machado de Castro	Joaquim	VII:117	C↔G: Gastro/Castro	Joaquim Machado de Castro
PerXI00679	Röscher	Paul (f. ca. 1832)	PerXI08036	Roscher	Fanny, f. Prutz	II:418	manglende ø/ö: Röscher/Roscher	Paul Roscher
