term,bucket,notes
kancellist,Embedsmand/Jura/Politik,
amtmand,Embedsmand/Jura/Politik,
stiftamtmand,Embedsmand/Jura/Politik,
borgmester,Embedsmand/Jura/Politik,
fuldmægtig,Embedsmand/Jura/Politik,
kontorchef,Embedsmand/Jura/Politik,
departementschef,Embedsmand/Jura/Politik,
folketingsmand,Embedsmand/Jura/Politik,
landstingsmand,Embedsmand/Jura/Politik,
stænderdeputeret,Embedsmand/Jura/Politik,
politiker,Embedsmand/Jura/Politik,
statsmand,Embedsmand/Jura/Politik,
postmester,Embedsmand/Jura/Politik,
gesandt,Embedsmand/Jura/Politik,
gesandtskab,Embedsmand/Jura/Politik,
konsul,Embedsmand/Jura/Politik,
generalkonsul,Embedsmand/Jura/Politik,
vicekonsul,Embedsmand/Jura/Politik,
ministerresident,Embedsmand/Jura/Politik,
diplomat,Embedsmand/Jura/Politik,
legationssekretær,Embedsmand/Jura/Politik,
legationsraad,Embedsmand/Jura/Politik,
kabinetssekretær,Embedsmand/Jura/Politik,
inspektør,Embedsmand/Jura/Politik,
minister,Embedsmand/Jura/Politik,
udenrigsminister,Embedsmand/Jura/Politik,
indenrigsminister,Embedsmand/Jura/Politik,
guvernør,Embedsmand/Jura/Politik,
landshøvding,Embedsmand/Jura/Politik,
herredsfoged,Embedsmand/Jura/Politik,
byfoged,Embedsmand/Jura/Politik,
toldforvalter,Embedsmand/Jura/Politik,
amtsforvalter,Embedsmand/Jura/Politik,
godsforvalter,Embedsmand/Jura/Politik,
advokat,Embedsmand/Jura/Politik,
overretssagfører,Embedsmand/Jura/Politik,
overretsprokurator,Embedsmand/Jura/Politik,
prokurator,Embedsmand/Jura/Politik,
jurist,Embedsmand/Jura/Politik,
justitiarius,Embedsmand/Jura/Politik,
assessor,Embedsmand/Jura/Politik,
overpræsident,Embedsmand/Jura/Politik,
præsident,Embedsmand/Jura/Politik,
kommunalbestyrelse,Embedsmand/Jura/Politik,
grosserer,Handel/Erhverv,
købmand,Handel/Erhverv,
bankier,Handel/Erhverv,
boghandler,Handel/Erhverv,
forlagsboghandler,Handel/Erhverv,
forlægger,Handel/Erhverv,
direktør,Handel/Erhverv,
teaterdirektør,Musiker/Scenekunst,hører til scenekunst-driften snarere end generel forretning
ejer,Handel/Erhverv,
besidder,Handel/Erhverv,
indehaver,Handel/Erhverv,
forpagter,Handel/Erhverv,
fabrikant,Handel/Erhverv,
vinhandler,Handel/Erhverv,
agent,Handel/Erhverv,
proprietær,Handel/Erhverv,godsejer/gårdejer — nærmeste term i registret for landbrug
godsejer,Handel/Erhverv,
gæstgiver,Handel/Erhverv,
hotelvært,Handel/Erhverv,
hotelejer,Handel/Erhverv,
bogholder,Handel/Erhverv,
gartner,Handel/Erhverv,
apoteker,Handel/Erhverv,
intendant,Handel/Erhverv,
bogtrykker,Handel/Erhverv,
professor,Akademiker/Lærd,
student,Akademiker/Lærd,
lærer,Akademiker/Lærd,
lærerinde,Akademiker/Lærd,
overlærer,Akademiker/Lærd,
adjunkt,Akademiker/Lærd,
rektor,Akademiker/Lærd,
docent,Akademiker/Lærd,
lektor,Akademiker/Lærd,
historiker,Akademiker/Lærd,
litteraturhistoriker,Akademiker/Lærd,
kunsthistoriker,Akademiker/Lærd,
filolog,Akademiker/Lærd,
filosof,Akademiker/Lærd,
arkæolog,Akademiker/Lærd,
botaniker,Akademiker/Lærd,
huslærer,Akademiker/Lærd,
guvernante,Akademiker/Lærd,
bibliotekar,Akademiker/Lærd,
læge,Akademiker/Lærd,
distriktslæge,Akademiker/Lærd,
overlæge,Akademiker/Lærd,
stadslæge,Akademiker/Lærd,
stiftsfysikus,Akademiker/Lærd,
ingeniør,Akademiker/Lærd,
maler,Kunstner/Billedkunst,
malerinde,Kunstner/Billedkunst,
billedhugger,Kunstner/Billedkunst,
arkitekt,Kunstner/Billedkunst,
landskabsmaler,Kunstner/Billedkunst,
historiemaler,Kunstner/Billedkunst,
portrætmaler,Kunstner/Billedkunst,
marinemaler,Kunstner/Billedkunst,
tegner,Kunstner/Billedkunst,
raderer,Kunstner/Billedkunst,
litograf,Kunstner/Billedkunst,
fotograf,Kunstner/Billedkunst,
kunstsamler,Kunstner/Billedkunst,
skuespiller,Musiker/Scenekunst,
skuespillerinde,Musiker/Scenekunst,
komponist,Musiker/Scenekunst,
operakomponist,Musiker/Scenekunst,
operasanger,Musiker/Scenekunst,
operasangerinde,Musiker/Scenekunst,
pianist,Musiker/Scenekunst,
pianistinde,Musiker/Scenekunst,
violinist,Musiker/Scenekunst,
organist,Musiker/Scenekunst,
dirigent,Musiker/Scenekunst,
kapelmusikus,Musiker/Scenekunst,
danserinde,Musiker/Scenekunst,
balletdanser,Musiker/Scenekunst,
balletdanserinde,Musiker/Scenekunst,
solodanserinde,Musiker/Scenekunst,
balletmester,Musiker/Scenekunst,
klavervirtuos,Musiker/Scenekunst,
violinvirtuos,Musiker/Scenekunst,
forfatter,Forfatter/Digter,
forfatterinde,Forfatter/Digter,
digter,Forfatter/Digter,
oversætter,Forfatter/Digter,
oversætterinde,Forfatter/Digter,
redaktør,Forfatter/Digter,
udgiver,Forfatter/Digter,
journalist,Forfatter/Digter,
publicist,Forfatter/Digter,
skuespilforfatter,Forfatter/Digter,
romanforfatter,Forfatter/Digter,
litterat,Forfatter/Digter,
