entity_id,label,lang,method,confidence
Reg000735,Den lille Pige med Svovlstikkerne,da,detector,0.898
Reg002202,"Lygtemændene ere i Byen, sagde Mosekonen",da,detector,0.984
Reg002515,Nissen hos Spekhøkeren,da,detector,0.745
Reg002690,"Pigen, som traadte paa Brødet",da,detector,0.652
Reg000750,Den sidste Perle,da,detector,0.686
Reg003050,Sneglen og Rosenhækken,da,detector,0.927
Reg003294,"Toppen og Bolden, 
se: Kjærestefolkene",da,detector,0.653
Reg003458,Vinden fortæller om Valdemar Daae og hans Døttre,da,detector,0.979
Reg003476,Vænø og Glænø,da,detector,0.974
Reg000423,Bøgernes Bog. Et Eventyr om en Mand som gik ud at søge Gud og fandt ham i sin Bibel,da,detector,0.912
Reg001389,Frihed og Constitution i en Hønsegaard,da,detector,0.912
Reg001492,"Grundlag i Livet: Stamtræ, Penge og Geni (Idé til Eventyr)",da,detector,0.847
Reg001657,Hvad Havet fortæller (jf. Den store Søslange),da,detector,0.985
Reg000731,"Den lille Havfisk, 
se: Hvad Havet fortæller.",da,detector,0.988
Reg001145,En vandrende Veiviser,da,detector,0.778
Reg003359,Udgave ikke nærmere angivet,da,detector,0.841
Reg002712,"Polyglot Udgave 
- Historien om en Moder i femten Sprog udgiven af Jean Pio og Vilh. Thomsen (1875)",da,detector,0.681
Reg003141,"Svensk
 - Sagor och berättelser. Öfversättning från danskan af Karl Bäckman. 1.-2. delen med träsnitt af Karl Larsson och Isidor Törnblom (1877)",sv,register,1.0
Reg003340,"Tyske
 - Märchen für Kinder. Vignetten von G. Osterwald (Braunschweig 1839)",de,register,1.0
Reg003351,Tyske - Neue Märchen. Aus dem Dänischen von H. Zeise. II. [Ill. af Otto Speckter]. (Hamburg 1846),de,register,1.0
Reg003348,Tyske - Gesammelte Märchen mit 112 Ill. nach Originalzeichnungen von V. Pedersen (1849),de,register,1.0
Reg003349,Tyske - Gesammelte Märchen und Historien nebst Bilderbuch ohne Bilder (= Sämmtliche Werke I) (1853),de,register,1.0
Reg003350,Tyske - Historien (= Gesammelte Werke XXXVIII) (1853),de,register,1.0
Reg003347,Tyske - Gesammelte Historien. Mit 75 Ill. nach Originalzeichnungen von V. Pedersen (1857),de,register,1.0
Reg003352,Tyske - Sämmtliche Märchen. Einzige vollst. vom Verf. besorgte Ausgabe. 8. Aufl. (1861),de,register,1.0
Reg003345,"Tyske - 
Die Dryade. (Leipzig 1868)",de,register,1.0
Reg003344,"Tyske 
- Von der Weltausstellung 1867. Die Dryade. Ein Märchen. Deutsch von August W. Peters. (Bremen 1869).",de,register,1.0
Reg003343,"Tyske 
- Sämtliche Märchen. Einzige vollst. vom Verf. besorgte Ausgabe. Mit 67 in den Text gedr. Holzschnitten u. 12 grossen Ill. nach Originalzeichnungen von L. Hutschenreuter u. V. Pedersen. 13. verm. u. verb. Aufl. (1870)",de,register,1.0
Reg003341,"Tyske 
- Drei neue Märchen und Geschichten. Hühnergrethens Familie. Was die Distel erlebte. Pagauf Einer verfallen kann. Deutsch von August W. Peters (1870)",de,register,1.0
Reg003346,Tyske - Ausgewählte Märchen. Deutsch von Julius Reuscher. (Lpz. 1871),de,register,1.0
Reg003342,"Tyske 
- Neue Märchen und Geschichten. Deutsch von Wilhelm Reinhardt. (Bremen 1873)",de,register,1.0
Reg001150,"Engelske 
- A Poet's Day Dreams (1853)",en,register,1.0
Reg001157,"Engelske 
- The Sand-hills of Jutland (1860)",en,register,1.0
Reg001155,"Engelske 
- The Ice-Maiden. Tr. from the Danish by Mrs. Bushby. With drawings by Zwecker, engraved by Pearson (1863)",en,register,1.0
Reg001156,"Engelske 
- The Ice-Maiden. Tr. from the Danish by Mrs. Bushby. With drawings by Zwecker, engraved by Pearson (1863) - Ny Udgave 1875 (Ͻ: 1874)",en,register,1.0
Reg001152,"Engelske 
- Hans Christian Andersen's Stories for the Household. Tr. by H.W. Dulcken. With 220 illustrations by A. W. Bayes (1866)",en,register,1.0
Reg001153,"Engelske 
- Later Tales, published during 1867 and 1868. Tr. by Caroline Peachey, Augusta Plesner and Henry Ward. With ill.s by Otto Speckter (1869)",en,register,1.0
Reg001151,"Engelske 
- Andersen's Tales for Children. Tr. by A. Wehnert. With ill.s by E. H. Wehnert, W. Thomas, and others (1869)",en,register,1.0
Reg001154,"Engelske 
- The Dryad. [Tr. by A.M. and Augusta Plesner]. (Aunt Judy's Magazine 1869)",en,register,1.0
Reg001158,"Engelske 
- The Wood Nymph. Tr. from the Danish by A.M. and Augusta Plesner (1870)",en,register,1.0
Reg001163,Engelske - Wonder Stories. Told for Children. (New York 1870),en,register,1.0
Reg001159,"Engelske - Fairy Tales and Sketches. Tr. by Caroline Peachey, Augusta Plesner, H. Ward, and others. With 81 vignettes by O. Speckter, and other illustrations by A.W. Cooper, A.W. Bayes, etc., etc. (London 1870).",en,register,1.0
Reg001162,Engelske - Stories and Tales (New York 1871).,en,register,1.0
Reg001160,Engelske - Fairy Tales. Illustrated by twelve large designs in colour by E. V. B. [Ͻ: the Hon. Mrs. Boyle]. Newly tr. by H. L. D. Ward and Augusta Plesner (1872 Ͻ: 1871),en,register,1.0
Reg001161,"Engelske - Hans Andersen's Good Wishes for Children, interpreted by A. A. B. and S. G. P. [Ͻ: Alice A. Bigelow og Sally G. Putnam]. (New York 1873)",en,register,1.0
Reg001360,"Franske - Contes d' Andersen, traduits du danois par D. Soldi, avec une notice biographique par X. Marmier et 40 vignettes par Bertall (1856)",fr,register,1.0
Reg001362,Franske - Deux contes [Le scarabée. Le papilIon]. (Tiré de la Bibliothèque Universelle . . . Imité du danois [par] Jules F.-U. Jurgensenl [1861].,fr,register,1.0
Reg001363,Franske - Fantaisies danoises (Tr. par Jules F.-U. Jurgensen). (Genève 1861),fr,register,1.0
Reg001366,Franske - Nouveaux contes. Traduits par Soldi. (1862),fr,register,1.0
Reg001361,Franske - Contes danois. Traduits pour la première fois par Ernest Grégoire et Louis Moland. III. d'après les dessins de Yan' Dargent. (1873),fr,register,1.0
Reg001365,Franske - Nouveaux contes. Traduits par Louis Demouceaux. (1874),fr,register,1.0
Reg001364,Franske - Nouveaux contes. La vierge des glaciers. Ib et la petite Christine [etc. etc]. . . . Traduction de Grégoire et L. Moland. Illustrations de Yan' Dargent (1874),fr,register,1.0
Reg001623,Hollandske - Nieuwe vertellingen. Uit het Deensch vertaald door J. L. D. Nepveu (1847),nl,register,1.0
Reg001625,"Hollandske - Verzamelte vertellingen en sproken. Volledige uitgave, door den schrijver zelven bezorgd. Naar de zesde Hoogduitsche uitgave door C. de Jong. Tweede druk. (Utrecht 1859)",nl,register,1.0
Reg001624,Hollandske - Sprookjes en verhalen. In dichtmaat naverteld door J. J. L. ten Kate (1868),nl,register,1.0
Reg001622,Hollandske - De Dryade. Naar het Deensch door C. J. N. Nieuwenhuis (Utrecht 1869),nl,register,1.0
Reg003385,Ungarsk - Meséi. Fordította Szendrey Júlia. [Eventyr. Oversat af Julia Szendrey] (1858),hu,register,1.0
Reg002861,"Russisk - Polnoe sobranie skazok Andersena, s 117-ju gravirovannymi politipažami. Izdanie vtoroe Trubnikovoj i Stasovoj. (Petersburg 1867)",ru,register,1.0
Reg002566,Nygræsk - Paramythia Danika [Oversat af D. Bikélas],el,register,1.0
Reg000353,"Bigelow, Alice A.",en,detector_cue,0.564
Reg000354,"Bikélas, Demitrios",fr,detector,0.715
Reg001494,"Grégoire, Ernest",fr,detector,0.834
Reg002510,"Nieuwenhuis, C. J. N.",nl,detector,0.982
Reg002969,"Schröder, Wilhelm",sv,detector_cue,0.545
Reg002288,"Malmström, J. A.",sv,detector,0.867
Reg001433,Gedichte. Deutsch von H. Zeise (1846),de,detector,0.785
Reg001896,Kjendte og glemte Digte (1867),da,detector,0.713
Reg003590,"» Aldrig er Ungdomstiden forbi!«, 
se: Foraarssang.",da,detector,0.655
Reg000430,Børnenes Skaal. Ved Moritz og Dorothea Melchiors Sølvbryllup den 17. Juni 1871,da,detector,0.811
Reg000024,*»Da Skotlands Skjalde deres Sange skrev -« (Til Miss Ross 18.8.1847),da,detector,0.731
Reg003616,"»Der var en Fyrste i Grækenland -« (Digtet om Hesten: Mulatten, 5. Akt, 7. Scene)",da,detector,0.752
Reg000837,Deres Kongelige Høiheder Kronprinds Frederik og Prindsesse Lovisa. Formælingsdagen den 28de Juli 1869.,da,detector,0.688
Reg000031,*»Det Første har paa Tydsk lidt af Mimosa-« (Charade),da,detector,0.709
Reg003539,[Dialog mellem det gamle og det nye Aar. Basnæs 31.12.1865],da,detector,0.847
Reg003542,[Digt oplæst ved Michael Rosings Bryllup 1.8.1863],da,detector,0.855
Reg000937,"Digt til Illustreret Tidende, 
se: I Afrika.",da,detector,0.675
Reg000990,Drengen og Hundehvalpen. Til en Tegning af Lorenz Frølich,da,detector,0.844
Reg000036,*»Du Norges Træ med Frugt og Blomst og Knop -« (Dedikation til Bj. Bjørnson 16.5.1861),da,detector,0.805
Reg001168,"Epilog, fremsagt af jomfru Amalie Price 19. Februar 1861",da,detector,0.676
Reg000038,"*»Et Hjerte kjærligt, tro og rigt -« (Til Fru Friederike Serre 6.8.1857)",da,detector,0.7
Reg003625,»Et Sørgebudskab gjennem Landet lød: /»Kong Frederik den Syvende er død!««.,da,detector,0.696
Reg003626,"»Farvel, Prindsesse Dagmar! Du gaaer til Storhed og Glands -« (21.9.1866)",da,detector,0.706
Reg003705,†Farvel til Kong Frederik den Syvende,da,detector,0.654
Reg001341,Fotograferede Børnegrupper af Harald Paetz med tildigtede Rim af Prof. H. C. Andersen,da,detector,0.781
Reg000005,*Frøken Frederikke Castenschiold (med en stor Skovbunds Bouquet) (Basnæs 20.5.1871),da,detector,0.926
Reg003630,»Giv af dit Hjerte til Folk og til Slægt -« (l Spanien),da,detector,0.885
Reg000049,"*»Gud, Du Stormagt, den eneste nu -«",da,detector,0.703
Reg001500,"Guldbryllupssang den 10. December 1862. Til C. W. Wiehe og Antoinette Louise Wiehe, f. Rosing",da,detector,0.775
Reg000052,*»Han skatter det Skjønne -« (Impromptu 26.12.1873),da,detector,0.855
Reg000053,*»Her Grækenlands Vaaben og Danmarks Flag -« (Verdensudstillingen i Paris Maj 1867),da,detector,0.932
Reg000054,*»Her hvor ikke Hjorden græsser -« (Corselitze 13.8.1850),da,detector,0.827
Reg000056,*»Her under det blomstrende Hyldetræ -« (Nørre Vosborg 10.7.1859),da,detector,0.854
Reg000060,*»Hvert Efteraar siger Løvet der faldt -«,da,detector,0.807
Reg003638,»Hvil sødt -«,da,detector,0.714
Reg000062,*»Hvor Alt i dette Land er skjønt!« (Albumvers i Lissabon 13.5.1866),da,detector,0.763
Reg000066,*»Hvor er dit Hjem dog hyggeligt og godt -« (I C. V. Böttigers Album 1.7.1849),da,detector,0.896
Reg000065,*»Hvor Stormen løfter høit sin stærke Stemme -« (Vandrerens Sang),da,detector,0.728
Reg003640,»Hyrden græsser sine Faar -« (Festen paa KenilPagth),da,detector,0.847
Reg000070,*»I Oldtiden var det den smukke Skik -« (Augustenborg 24.9.1844),da,detector,0.667
Reg000072,"*»I Weimar, den tydske Digterstad -« (l Grev Ferd. von Harrachs Album 27.7.1860)",da,detector,0.681
Reg000002,* »Imellem Elbens grønne Øer -« (Harburg 27.4.1833),da,detector,0.834
Reg001742,Indskrift i Kronborg Slotskirke efter Restaureringen 1843 (»Det ødelagde Guds Huus reistes paa Kongens Bud -«).,da,detector,0.823
Reg000008,*Indvielse 1867 (»I denne Bog vil blive lagt -«) (l Bodild Holsteins Album),da,detector,0.929
Reg000076,"*»Ja, Digterdrøm og Elskovs Lykke -« (Ved Tassos Eg, San Onofrio 23.11.1833)",da,detector,0.761
Reg000080,*»Jeg lægger Bogen paa Deres Bord -« (Dedikation til Fru Dorothea Melchior i et Eksemplar af Souvenir 1869),da,detector,0.808
Reg000001,*»Jeg saae det gamle Frijsenborg -« (I Komtesse Agnes Krag-Juel-Vind-Frijs' Album 28.8.1868),da,detector,0.692
Reg000081,*»Jeg sidder i et Vertshuus i fremmed Land -«,da,detector,0.696
Reg002156,Lille Pouls Tale ved Moritz og Dorothea Melchiors Sølvbryllup 17. Juni 1871,da,detector,0.794
Reg002157,Lille Svends Udtalelse om Vejrliget i Vinter,da,detector,0.968
Reg002343,"Maskerade-Vers, uddeelte af en Spaaqvinde (Karneval hos M. G. Melchiors 16.2.1874)",nl,detector_cue,0.297
Reg002358,"Med en Deel Sparebøsser, solgte paa en Bazar under Krigen 1864 til daglig Indsamling for de Udcommanderedes Koner og Børn",da,detector,0.962
Reg000087,*»Med Skaaler er Bordet dænget -« (Rosenvænget 25.6.1867),da,detector,0.834
Reg003659,»Min søde lille Marie paa Petershøi« (Brev 26.6.1869 til lille Marie Henriques),da,detector,0.742
Reg000091,*»Mosrosen er nok værd at see -« (Cette 3.9.1862),da,detector,0.694
Reg000010,*Musikdirecteur W. Rübner (»Din Vugge-Gjænge blev sat i Gang -«) (Holsteinborg 15.8.1867),da,detector,0.881
Reg000092,*»Naar Sprogets Dør imellem sagde: »Stop!« -« (30.8.1847),da,detector,0.876
Reg003589,tOberst Læssøe,da,detector,0.755
Reg003662,"»Paa Eventyrtræet groe Blomst og Frugt -« (Verslinier, dateret 5. Februar 1872, paa Grevinde Wanda Danneskiold-Samsøes Skærmbræt paa Holsteinborg)",da,detector,0.983
Reg000098,*»Paa Holsteinborg Juletræet staaer -« (26.12.1865),da,detector,0.908
Reg003666,"»Program« (»Det er et Carnevale!«) [Prolog til Fastelavnsfesten hos Grosserer Melchior 16.2.1874, Fru Melchiors Fødsebdag]",da,detector,0.694
Reg003553,[Prolog til en Dilettantforestilling paa Basnæs 5.1.1865],da,detector,0.687
Reg003554,[Prolog til en Forestilling paa Hofteatret i det velgørende Selskab Fylla 9.3.1851],da,detector,0.94
Reg000102,*»Saa søndagsfestlig hele Landet staaer -« (I Fru Cornelia Schlegels Stambog 16.6.1847),da,detector,0.751
Reg002937,Sang for de danske Kunstnere. [Sunget ved Festen paa Kunstakademiet 31.3.1860]. (Ogsaa med Titel: Det Skjønne. Sang for de unge Kunstnere),da,detector,0.673
Reg002940,Sang paa Sølvbryllupsfesten den 24. October 1858. [Augusta Petzholdt og Gottlieb Collin],da,detector,0.824
Reg002942,Sang til Grevinde Marie Elisabeth Moltkes Fødselsdag 1. August 1842,da,detector,0.828
Reg003560,[Sang til Grevinde Marie Elisabeth Moltkes Fødselsdag 1. August 1850],da,detector,0.828
Reg002945,"Sang ved Afsløringen af Mindestøtten paa Holsteinborg, den 18de October 1870",da,detector,0.659
Reg002946,"Sang ved Conferentsraad, Politichef Bræstrups Halvhundredaarige Jubilæum den 17. December 1860",da,detector,0.967
Reg002947,"Sang ved Femogtyveaars-Festen for Borgerrepræsentant N. F. Bonnesen og Raadmand B. Petersen, den 24de Februar 1867",da,detector,0.975
Reg002948,Sang ved Frøken Lucia Scavenius's og Hr. Carl Castenschiolds Bryllup paa Basnæs den 26de October 1867,da,detector,0.795
Reg002952,"Sang ved Sølvbryllupsfesten den 10. Februar 1872 (Hofjuvelerer Anton Michelsen og Ida, f. Hansen]",da,detector,0.742
Reg000104,*»See der et glødende Hjerte staae -« (31.8.1844),da,detector,0.686
Reg003668,»See Myrten bliver Sølv saa underfuld -« (Augustenborg 18.9.1844),da,detector,0.759
Reg003671,"»Skarpt som et Sværd laae Øresund -«, 
se: De tre nordiske Rigers Skaal for Adam Oehlenschläger",da,detector,0.755
Reg000841,"Det Skjønne, 
se: Sang for de danske Kunstnere.",da,detector,0.702
Reg003041,Slutnings-Sang. Den 16. Februar 1865 (Fru Dorothea Melchiors Fødselsdag) (»»Farvel!« i Billedrække -«),da,detector,0.74
Reg000108,"*»Staar jeg kun skreven i dit Bryst, Veninde -« (I Stine Pedersens Stambog 11.4.1826)",da,detector,0.677
Reg000109,*»Storke Steie høit i Reden -« (Sang til Maria Moltkes Fødselsdag 23.7.1842),da,detector,0.738
Reg003564,"[Sølvbryllupsvers ved Peter og Antoinette Wullfs Sølvbryllup 28. December 1868, fremsagt af den lille Jørgen Koch]",da,detector,0.678
Reg003194,"Tegnér og Oehlenschlæger, 
se: De tre nordiske Rigers Skaal for Adam Oehlenschlæger.",da,detector,0.667
Reg000014,*Trollhättan til Vandringsmanden (I Trollhätta-Bogen),sv,detector,0.731
Reg003411,"Ved Hds. Kongelige Høiheds Høisalig Landgrevinde Louise Charlottes Bisættelse i Roeskilde Domkirke, den 7. April 1864",da,detector,0.91
Reg003566,[Vers i Mathilde Ørsteds Billedbog til hendes Brodersøn Hans Christian],da,detector,0.898
Reg003571,[Vers med et Porcelænsstel til E. A. og Karen Scharlings Sølvbryllup 23.11.1864],da,detector,0.873
Reg003533,[*Vers med Fru Henriette Scavenius' Fødselsdagsgave til Otto Scavenius' Fødselsdag 19.5.1871],da,detector,0.68
Reg003569,[Vers med Skamlerne paa Bregentved 1. August 1842 (Grevindens Fødselsdag)],da,detector,0.84
Reg003575,[Vers til J. A. Hägg 27.9.1871],sv,detector_cue,0.422
Reg003448,Versificeret Telegram 22.6.1871 »som fra Melchior at læse i Dag efter at hans Skaal var drukket«,da,detector,0.915
Reg003580,[Verslinier til Skoleholder Staahl i Roskilde 7.8.1863],da,detector,0.747
Reg000118,*»Vort Hjerte i Glæde banker -« (Glion 18.5.1873),da,detector,0.754
Reg003527,Zigeunersang af Goethes »Götz von Berlichingen«. (Oversættelse),de,detector,0.743
Reg000947,Dinorah (Le Pardon de Plöermel) (Michel Carré og J. Barbier) (Oversættelse),fr,detector_cue,0.593
Reg001284,"Festen paa KenilPagth,Omarbejdelsen 1875",da,detector,0.868
Reg001402,Fuglen i Pæretræet,da,detector,0.973
Reg001900,"Kjærlighed og blind Alarm, 
se: Da Spanierne var her",da,detector,0.701
Reg001907,"Klein Karin, 
se: Liden Kirsten",de,detector_cue,0.314
Reg002391,Mikkels Kjærligheds Historier i Paris,da,detector,0.748
Reg002771,Ravnen (1832) - Teksten omarbejdes 1846,da,detector,0.943
Reg001140,En rigtig Soldat,da,detector,0.72
Reg003022,Skilles og mødes (Spanierne i Odense - Fem og tyve Aar derefter),da,detector,0.734
Reg003187,"Tante og Broderdatter, 
se: En rigtig Soldat",da,detector,0.801
Reg002107,Leonora Christine i Fængslet (Plan til Digtning),da,detector,0.674
Reg000142,Abentheuer und Märchen einer Neujahrsnacht,de,detector,0.995
Reg000357,Billedbog uden Billeder,da,detector,0.824
Reg000358,Billedbog uden Billeder- 5. Udgave (1866),da,detector,0.915
Reg001600,"Historien om Konen som ikke kunde døe. Et Folkesagn i Danmark. Historien om Fruen der vilde leve saa længe hendes Kirke stod, fortalt af HCA. (Sml. Danish Popular Legends 1870, HCA.s Eventyr. Ved Erik Dal, V 1967, S. 257-58)",da,detector,0.966
Reg001837,"Jugendleben und Träume eines ltalienischcn Dichters, 
se: Improvisatoren",de,detector,0.888
Reg001332,"Fortrolige Breve. Første Gang i Sporvogn, Brev fra en ung Landsbypige til hendes Veninde",da,detector,0.946
Reg000849,"Det første Besøg i Dagvognen, 
se: Fortrolige Breve",da,detector,0.696
Reg000282,Aveiro og Coimbra,pt,detector,0.804
Reg000405,"Brudstykke af et Brev, dat. Valencia, den 18de September (Berlingske Tidende 26.9.1862)",da,detector,0.653
Reg002661,Passions-Skuespillet i Oberammergau i 1860,da,detector,0.674
Reg002686,"Pictures of Travel. In Sweden, among the Hartz Mountains, and in Switzerland, with at Visit at Charles Dickens's House. New York (1871)",en,detector,0.927
Reg003354,"Uddrag af et Brev, omhandlende Rejsen til Portugal (Dagbladet 22.6.1866).",da,detector,0.669
Reg001615,Hoe Hans Christiaan Andersen zijn leven vertelt,nl,detector,0.951
Reg000602,Das Märchen meines Lebens ohne Dichtung (1847),de,detector,0.96
Reg000603,Das Märchen meines Lebens ohne Dichtung (1847) - Engelsk Oversættelse : The True Story of My Life,de,detector,0.813
Reg002417,Mit Livs Eventyr. Fortsættelse 1874-75,da,detector,0.945
Reg003228,The Story of My Life (New York 1871),en,detector_cue,0.641
Reg000565,Dagbogen - Dagbogen læses af andre?,da,detector,0.924
Reg000176,Akrostichon-Gaade. To danske Digteres Navne,da,detector,0.819
Reg000229,"Anmeldelse af H.C. Ørsteds Foredrag om Experimenterne med den electromagnetiske Telegraf, foranstaltet af »Selskabet for Naturlærens Udbredelse« (Kjøbenhavnsposten 20.4.1839 under Mærket a)",da,detector,0.999
Reg000390,"Brev, dateret Kjøbenhavn, den 5te April 1875, til Redaktøren af »Søndags-Posten«",da,detector,0.737
Reg001740,"Indbydelse til Indsamling til H.C. Ørsteds Monument 1861, 1870 og 1873",da,detector,0.856
Reg001743,Indskrift paa Mindesten paa Basnæs for Godsejer Jacob Brønnum Scavenius (Tekst),da,detector,0.874
Reg002745,Protest til Redacteur Ploug mod Clemens Petersens Anmeldelse i »Fædrelandet« af Carit Etlars Folkekomedie »Hr. Lauge med den tunge Haand«. (Fædrelandet 30.1.1661),da,detector,0.688
Reg003267,Til mine Landsmænd (Berlingske Tidende 6.4.1875),da,detector,0.963
Reg002636,Oversættelse af Andersens Skrifter (undtagen Eventyrene),da,detector,0.899
Reg003199,The Academy.,en,detector_cue,0.585
Reg003202,The Atlantic,en,detector_cue,0.282
Reg000371,Blätter für literarische Unterhaltung,de,detector,1.0
Reg000923,Die deutsche Jugend,de,detector,0.844
Reg000865,"Didaskalia oder Blätter für Geist, Gemüth und Publizität",de,detector,1.0
Reg003207,The Examiner,en,detector_cue,0.287
Reg001270,Feierstunden. Ein Unterhaltungsblatt für Gebildete aller Stände 1860,de,detector,0.999
Reg001314,Folkekalender for Danmark,da,detector,0.703
Reg001323,"For Idé og Virkelighed (Udg.: Bj. Bjørnsen, Rasmus Nielsen og Rudolph Schmidt)",da,detector,0.878
Reg003208,The Fortnightly Review,en,detector,0.929
Reg000879,"Die Gegenwart. Wochenschrift für Literatur, Kunst und öffentl. Leben (1875)",de,detector,0.982
Reg000880,Die Grenzboten,de,detector,0.784
Reg003211,The Illustrated London News,en,detector_cue,0.607
Reg001732,"Illustreret Tidende (norsk), 
se: Illustreret Nyhedsblad",da,detector,0.903
Reg001733,Illustrirte Zeitung.,de,detector_cue,0.355
Reg001735,Illustrirter Kalender für die Schweiz (1852),de,detector_cue,0.615
Reg000885,Die Jahreszeiten. Hamburger neue Mode-Zeitung (Red.: Ludwig Lenz),de,detector,0.986
Reg003216,The Leisure Hour,en,detector,0.654
Reg003217,The Literary Gazette (Udg.: William Jerdan),en,detector_cue,0.618
Reg002174,Lommebog for Skuespilyndere 1805 (Udg.: Peter Foersom),da,detector,0.859
Reg002218,"Læsefrugter, samlede paa Litteraturens Mark (Udg.: A. F. Elmquist)",da,detector,0.963
Reg002284,Magazin für die Literatur des Auslandes,de,detector,0.744
Reg003219,The National Quarterly Review,en,detector,0.827
Reg002671,Penelope. Taschenbuch für das Jahr 1845 (Udg.: Theodor Hell),de,detector,0.767
Reg002754,"Punch, or the London Charivari (Udg.: Mark Lemon)",en,detector_cue,0.199
Reg003223,The Quarterly Review (Red.: J. G. Lockhart),en,detector,0.842
Reg002800,Revue britannique,fr,detector,0.77
Reg002801,Revue des deux Mondes,fr,detector,0.865
Reg003224,The Riverside Magazine for Young People (Red.: Horace E. Scudder),en,detector_cue,0.531
Reg003225,The Saturday Review,en,detector,0.934
Reg002975,Scribner’s Monthly Magazine,en,detector,0.697
Reg003365,Ueber Land und Meer (1875),de,detector_cue,0.278
Reg003523,Zeitung für die elegante Welt,de,detector,0.797
Reg001197,Et Bidrag til Monumentet for H.C. Andersen. Fortællinger og Digte for Børn. (1875) (August Westrups Forlag),da,detector,0.983
Reg000589,Das Buch der Welt. Ein deutsches Familienbuch für alle Stände (1860),de,detector,0.981
Reg000557,Cuentos y fábulas (J.E. Hartzenbusch),es,detector,0.754
Reg000585,Danske Værker 11-12 (Prosaiske Skrifter 3-4. Dramaturgisk Kritik) (Jens Baggesen),da,detector,0.668
